IID	ntile_PGS_LDP2Auto	ntile_PGS_prscsx	ntile_PGS000010	ntile_PGS000011	ntile_PGS000012	ntile_PGS000013	ntile_PGS000018	ntile_PGS000019	ntile_PGS000057	ntile_PGS000058	ntile_PGS000059	ntile_PGS000116	ntile_PGS000200	ntile_PGS000296	ntile_PGS000329	ntile_PGS000337	ntile_PGS000349	ntile_PGS000746	ntile_PGS000747	ntile_PGS000748	ntile_PGS000749	ntile_PGS000798	ntile_PGS000818	ntile_PGS000899	ntile_PGS000962	ntile_PGS001355	ntile_PGS001780	ntile_PGS001839	ntile_PGS002048	ntile_PGS002244	ntile_PGS002262	ntile_PGS002775	ntile_PGS002776	ntile_PGS002777	ntile_PGS002778	ntile_PGS002809	ntile_PGS003355	ntile_PGS003356	ntile_PGS003438	ntile_PGS003446	ntile_PGS003725	ntile_PGS003726	ntile_PGS003727
HG00096	6.04978620669917	19.9650615893212	3.35140334514287	4.69979589133163	46.1509280291848	16.3673273451011	64.2773508581917	30.2682311427421	73.973958895009	16.3592430690298	13.845738436263	36.6732084776521	1.85421719616997	27.0855464724805	47.0260605463591	45.6338124277776	39.893640970788	25.9523187924889	65.8614391426704	93.1836859454596	82.6407273200802	4.94866183172204	8.82812672335114	10.0391043631415	2.41511973264556	24.3031112549405	73.7502264237901	31.5998094718556	15.18403170745	20.0323065868119	23.4984829463442	41.9145059341424	31.0511307394509	19.0983769454413	0.7584302857867	23.1816925951323	15.822359672726	42.7283355008937	14.0586128693503	21.7978462710379	40.0376126723347	27.8990263293352	64.124591529278
HG00097	72.2700370857423	93.1395712745611	96.6860952136471	94.7223154492475	43.6613073998542	98.5414025605851	94.3125202809765	99.5585936461122	96.4363113609684	94.1878201734226	97.3509915887369	2.74097267942811	81.7179038613282	93.8395359152252	53.985933474356	52.9050516567499	63.1794228682024	98.2598078956725	94.4412550580688	72.2331807571055	71.3128416295442	87.7481702894539	92.4675207556127	97.3250299328705	87.2939750526916	96.7877340925142	84.0536475221322	79.9259899987867	96.3142543241834	95.6765924974742	97.6071989363025	96.5654707016595	99.8647019778427	86.1726887788511	65.1060307941861	91.7460747464058	94.1991307355557	83.6974256635032	97.1671082451917	85.1500643641333	88.0409715121358	96.1724834623486	41.2249441947614
HG00099	83.4820032540508	90.3728069919756	88.5535933685968	75.3625855410577	78.4697409316965	82.3621697806787	69.7472228639372	89.7187273542683	51.0282723182036	99.3520889275621	40.391888314788	47.7720193117535	20.5804262982977	76.4939972085857	95.6314193595165	77.371021688419	79.2615945112291	62.69981965497	71.3386837893178	73.0413092672396	58.7617150393051	96.8098944747271	24.2585757227407	95.2244760755182	97.5943806240383	75.1051468781916	86.9309153029848	83.5725112209697	84.6950242934297	79.3220250322061	68.1567393094588	89.4673786067816	81.1159690635697	68.6336007889224	74.353485228635	84.8376763986788	71.9711693489649	96.8464580531791	92.2081382349673	22.3612910693863	93.9613231818723	96.8714036549956	44.9715273821962
HG00100	37.5464230276856	49.752873749855	29.083438980184	29.4725258926376	51.2407084838626	19.8927457007966	21.0935659900341	22.2988615382951	32.3790870642837	38.1409151350736	1.18962498241652	36.4980244213369	28.9539164319853	32.2833582065519	35.2575945116943	61.5490850002348	23.9632936426049	48.9168631976385	16.2195636823031	56.6653102131969	59.8210261761942	51.4171491210377	29.678040155901	54.1827332640983	1.71269109683715	16.9978085128754	21.6372475880005	54.7443819021632	20.8772082622434	52.2632136668123	41.1874494193186	50.9373039885497	13.2134486225123	31.7917876719619	65.2143082148877	49.0220584428676	17.2445327175196	39.580648735441	36.924458927596	11.2082423453756	55.0685538098067	45.4058353373224	19.0376680524989
HG00101	41.9269262698239	76.194871393645	57.6125709218129	57.8987949706526	86.5931401083562	54.0708122581289	28.0494023861513	48.4016133599462	69.8127453959971	87.7593624321726	67.11070696841	75.6606298481096	76.4023462613895	39.4485671688244	79.7887101706455	77.8185049670688	67.8843186913861	22.3982432575498	9.53683146032299	21.0753780656553	20.9995441612672	90.4760545545156	85.5282353294223	88.3216263033293	43.3683236771104	43.2681821536102	48.9270086200846	43.1768504876667	64.2059432074198	57.5153456612152	97.543686241373	48.9494717229109	52.6928679935883	21.8543042517479	4.01700256888759	85.1280262778638	26.1127966225485	92.3689765400898	75.1628450020982	52.1487793594074	69.5747806583615	74.6015929531133	25.4767882902715
HG00102	18.1249335917268	5.1262448773784	9.79627768005995	18.2921872022999	21.9510760255661	2.43535581461225	5.56830157658916	28.844998339339	13.945485169278	8.1224467664898	2.11912474858763	89.0624809199201	5.64813058751797	3.03354321884573	7.13815420171977	45.0377149741193	26.9674484157822	1.35981186303425	5.30602963100641	19.0866314160269	14.3438135570378	11.4931568507196	3.25702064543228	16.2352901486413	0.281428901244106	1.21403411826976	12.216207452469	6.87485573919246	7.57190064365059	7.02923173010092	3.42411783142315	10.4331827707508	1.02878475036636	17.2693050846267	8.24810091943184	12.1181231131438	3.86541287705523	3.9519274516378	13.6214379189266	21.0643146800405	2.09379056146504	3.03067630721025	88.0334995247023
HG00103	99.7752613194473	97.9719149966435	89.4848829611344	79.0223476571589	50.1922992623461	71.1726668379003	41.553134498616	63.0869930476345	89.2974158525907	96.1675874930189	88.766320466099	50.9138283402643	58.7664090083556	60.9138520583193	98.2018414508538	92.9832527060682	91.5400159484368	46.2170854191952	34.4080548861943	33.0762991890464	29.9193294268902	96.4890973281937	71.8778029067072	90.7326894757957	89.0019029309675	68.5388125617942	61.342484414962	93.4254485814674	96.0978567281237	59.0781655482097	90.492366766892	54.9266839664322	70.3722612376592	82.5104096704801	90.3598041445201	82.3861470658012	49.5905007264941	94.5647937175571	95.7050002610182	85.0668318939114	95.8157435197525	96.9286023869423	31.4268926383963
HG00105	94.576093190699	87.8635561267329	73.2504773972252	46.134868097219	73.1124551450776	83.8457702472443	49.6572429263212	25.4554421672313	15.4256155686707	38.2605938541139	74.8942566238897	38.2963491812312	81.0606583367599	95.098726297884	82.0632752788854	99.4462305099073	16.9802918053948	73.4218581928231	51.2462834027596	87.7525941018617	84.9086833826354	39.9539798288629	50.927664223358	36.1251511648857	31.895746790588	78.5672964544479	89.6139814759298	83.1976065430448	89.5619626319834	93.8535843835091	36.9169896859233	84.4803064119271	69.587591749554	99.4025015299325	97.8600176142028	58.7157907893992	51.3007917937453	99.0851156793266	30.4391676753566	92.8861131355455	94.4347024189721	96.2418505761313	6.62065159474337
HG00106	47.4276565503228	67.6669167051244	66.358972944454	57.8671295737302	74.967356106343	61.7163846587583	48.2985206366312	27.297264876546	70.972496727608	83.5984174448258	16.2615192029487	13.0024431135663	67.7016029482659	47.1038357790397	66.8683155006646	74.9891186313455	57.6436331197319	57.3601170425573	33.8734288261762	48.8664076811126	49.2266687218894	47.833207677504	81.1163534148509	87.8765177898447	67.9976728185268	60.3959362646453	45.553238221113	35.4147507605767	50.0439904704469	46.6393905092637	83.7616598512651	51.9163669256821	48.2134970355188	38.1126296688957	57.7296990761846	93.5216671939609	59.7866697776737	69.2867088775755	83.922787920572	63.8493800325369	67.7294734202346	60.4991580539295	85.7579155092164
HG00107	36.3844306623993	10.9427507067264	18.6515937543719	61.3444016477645	2.15106653081197	15.4141483947024	5.88763720525112	56.7288392548797	33.7944845363063	65.2583633933908	55.922295452126	70.5778473220229	36.3632668156028	15.8005339813859	44.3989342922146	34.3233577169209	47.3360024353804	11.1534941712055	22.595220851016	36.3660816044806	44.4923923673226	66.1781323127149	42.1482958008276	47.5991127052445	20.1535974504646	51.7100681033894	20.6215884188177	53.1778343805165	48.1393076911362	27.7803069226172	43.7058907213788	5.05534272674794	13.4931739302383	73.4270477696976	78.7874171655301	55.7596361708602	9.93506569558435	43.8652462510373	17.2498387272291	40.4226606756888	7.28089802146763	22.1884925586247	52.0142006664713
