"","IID","ntile_PGS_LDP2Auto","ntile_PGS_prscsx","ntile_PGS000010","ntile_PGS000011","ntile_PGS000012","ntile_PGS000013","ntile_PGS000018","ntile_PGS000019","ntile_PGS000057","ntile_PGS000058","ntile_PGS000059","ntile_PGS000116","ntile_PGS000200","ntile_PGS000296","ntile_PGS000329","ntile_PGS000337","ntile_PGS000349","ntile_PGS000710","ntile_PGS000746","ntile_PGS000747","ntile_PGS000748","ntile_PGS000749","ntile_PGS000798","ntile_PGS000818","ntile_PGS000899","ntile_PGS000962","ntile_PGS001048","ntile_PGS001314","ntile_PGS001315","ntile_PGS001316","ntile_PGS001317","ntile_PGS001355","ntile_PGS001780","ntile_PGS001839","ntile_PGS002048","ntile_PGS002244","ntile_PGS002262","ntile_PGS002775","ntile_PGS002776","ntile_PGS002777","ntile_PGS002778","ntile_PGS002809","ntile_PGS003355","ntile_PGS003356","ntile_PGS003438","ntile_PGS003446","ntile_PGS003725","ntile_PGS003726","ntile_PGS003727","ntile_PGS003866"
"1","NA20534",55.0223685322098,75.4473702402656,99.6945500484814,98.2747566790274,66.4965919724583,49.78364568653,20.6833952037094,61.7946532286393,92.9950881610382,63.5533619867864,97.6253492022869,45.8695529113665,83.6391498497914,42.0372033642787,92.5851274167562,33.2889641558509,74.055721528829,87.5493083051864,75.8111038534175,5.02632970489515,3.84337682331398,3.29128577140112,36.6860718158799,77.0746710034006,65.46555226773,87.7562392189687,82.2442277612461,91.607533755822,83.907728848031,80.8996357979603,97.676352578845,35.0759899598564,16.7570799560056,92.7939312560285,79.2285322893289,38.3026028660437,31.5998961064393,91.8971822226509,68.9168106911221,2.49066379764898,14.3616946928296,64.1455738962228,29.3709955666858,37.8098133166869,88.9339264680362,23.0287639758563,41.2367207945755,43.4249840282599,49.9447291340097,17.8294990939747
"2","NA18623",36.6807337371506,71.675251189596,54.4913417203007,30.9990049697615,56.3227885138815,79.4534703634974,43.1750470115995,46.4532817251507,58.5742499970072,43.4955959584999,72.8466311203211,9.69241576716087,45.2335165252237,76.3208288662185,95.8648939910301,89.7676616109985,55.2593331336879,83.3947107967063,81.0106803169618,88.517608929345,64.9039306825374,47.3658075448388,26.9590047541259,58.4525591696913,52.1068992946721,51.1163993882055,10.6069858988685,75.8005953218655,82.579303640255,74.3008694410782,94.3970459770808,64.0468832865646,83.8312813194514,79.2018009688259,77.2428556152321,68.2818663445775,37.173159757943,52.1568495960898,55.7978572047421,21.0933681731023,18.5520635173391,40.1196963562569,79.8926938101807,70.1808537101361,70.546609973051,97.686102024286,58.5961680770654,71.225799608746,68.8402037921128,64.7780449481937
"3","HGDP01103",57.5972641946783,68.7840044379695,68.3383323367569,46.6118084723131,76.3268403805899,84.0070962730218,70.9736500226999,82.7227956220089,15.8464272038741,55.2516715548865,46.3180753757399,20.2022550041899,84.4661941455712,86.132388129891,42.868134567073,51.1645656874352,44.6912828881776,96.4187068985366,74.2404737306158,29.6703330294472,20.9116495113793,38.7346859832184,48.7608462381244,34.1777608278871,55.6368248039678,63.1888886329926,37.0807134861498,86.5698837031521,85.2045057134426,79.5821791519316,79.7437043251427,69.9236745445353,62.4562900277302,13.67063913811,33.919251737062,85.8767496961774,96.4632351817533,82.5691923736609,63.7131993102858,86.7633710890999,88.0327007431578,74.9052651933923,80.8258603678593,53.6777710201669,87.5982380741449,13.3450286553245,90.9770511376752,79.7807373763852,19.6000399233458,45.2277564977936
"4","NA19113",21.0189855112953,18.3456832232442,34.0110992276225,44.9088725346796,16.1190521276056,47.8182928302607,13.7916879272391,8.33718808140361,32.0652643310166,41.6793700583107,91.1925347183192,60.8425930366043,34.718663981676,56.0945287516887,2.78796433153946,49.1184127373954,40.8034186635465,12.7998317395354,83.1262703955361,79.9595883826688,72.4344300527401,47.0867683021446,53.2615725095742,40.1189097561178,62.6867069314097,54.659141534713,19.2936173239422,6.88308049021841,50.7462631323247,52.526672773109,38.8210735693177,45.513959977159,48.6434300656429,63.2466842563148,36.2267921832268,49.5431139003422,22.2098943333049,77.0600656276812,28.679131439246,66.1737643208971,29.718594802032,37.4455775112018,71.1800849781349,1.35717795538816,68.3271506760524,6.42828802351643,31.3704311897995,26.6040110072346,25.6835216911745,15.4224297346144
"5","HG01500",92.023097779054,93.5107350383857,63.7804689022096,43.3687066892127,92.3847689721909,96.8025093409812,98.4608486884803,99.7137599066167,27.7610014455525,92.3488266636196,91.3016181538775,5.89628012047449,59.0268997109073,94.0543058907527,94.8911299919742,85.0560764829019,64.5257787173889,66.6267499970307,99.507853046487,92.0369501855036,90.0579993080315,89.3882772822743,79.2408810576289,47.7399878519875,96.4697894420822,95.1141835941429,83.9087865922534,89.883663395186,77.5285059490884,77.8531939252483,88.9015560922305,99.2793532604229,91.5176617223142,88.1647282156649,88.4467698968684,98.2917245280931,86.4462685891605,98.8257250355469,99.1253198536205,79.0099849560682,73.7002709721083,90.324411825291,98.7843245481496,63.4557249930508,98.7286927769302,92.1722412927594,91.1180383480023,86.8588121683831,35.6814243941402,99.8447068637833
"6","HGDP00015",81.617332875767,96.52094982429,85.7901225411359,70.0177757182161,41.3817610213733,53.4812833876338,34.4807866908342,79.515861366985,63.0900948087359,98.9935091951949,57.0121870303576,2.65835206934395,72.6280282746605,62.252545280832,87.7180945356329,88.0688280171065,49.1901576943896,72.3948767647211,98.5528197634811,15.5320841142273,8.18593546627639,9.39566383562773,98.5773439985992,64.2200282170788,98.7575128893917,62.8091102720779,26.1948498612044,82.833554421766,68.8707373222837,61.7223457182198,94.5904607904347,50.8316958019245,70.5407076337072,99.5304483479147,99.4673537043002,34.7981642547768,91.1978066286037,75.5423684319337,53.8942268391526,80.8810011174973,63.9991324054128,93.7786523364921,44.4224357740664,97.8874008832721,94.1156108392521,26.2497026741174,93.0525137001571,95.6553565899353,2.68277635839418,89.6429278427713
"7","HG03618",20.3251942235176,37.8937706187464,32.753542493234,29.3400063216661,91.7159561369548,60.6286096205206,41.0426517642098,20.9703861580495,39.7849765602171,13.2087173513633,16.7017159713612,22.8645632298932,22.2250495129291,54.541551700983,67.2511511408272,28.3863597682165,25.6007418360363,27.57246408818,41.8572892127188,27.7257724146385,45.1395315730691,43.9523603660547,13.4461544055357,34.4568435892666,25.6690787224306,38.9101921460806,82.4674479313122,65.2929161993132,74.6085909427405,86.331094130416,90.9655960671399,51.2606635753789,40.036763172866,76.7425041323932,72.4857524878601,51.9596413809274,19.0781389622717,48.7609655549403,74.9913401228766,5.5192004637617,4.42092021216191,17.5379572138035,48.9850312985585,47.5735126243593,36.8906822993365,39.073798509791,35.7957039050745,40.7054603633013,72.4261368701882,66.5055085344845
"8","HG01970",30.772989907047,17.3693724485626,1.10977197573756,12.1739893788857,80.7592582358934,9.567372546879,15.7159453373127,20.9451847078456,7.8430656433126,13.2184794783091,6.2519379511113,33.2992870873124,4.71129615297568,11.2675586221134,13.8668159544638,21.358389445349,53.5276500564052,5.25435976106901,15.5318897882665,7.7735714329923,2.93358214441936,6.89549190602772,71.6446984958047,7.60916103252138,7.69561852578479,5.24432529670653,63.3635029024948,7.94993574959288,1.83479700276324,2.4522436480937,49.7592693270451,4.49216458723273,4.95755552179393,46.2240951012095,31.4219430839779,9.10509253093493,89.4686411095668,26.849928743477,2.06474609924143,37.0106346104162,18.8655984842717,19.7753387369065,10.4874660463293,11.0221161406035,20.6110690721535,20.0046330770917,7.86260737000302,19.0733442281747,42.0021351460855,22.1194881863938
"9","HG01869",56.9789239186269,62.9222041738378,52.7861316198974,57.5485559875132,10.8336349300863,70.253138747747,33.197020842844,59.9465614120053,91.0642394231239,37.6605162221546,68.6592634183513,62.4054796116031,46.8612407769955,46.7471526103669,34.6848838591017,39.554098012556,22.5729059349174,72.816211471929,46.533601601419,49.6811769126034,14.6846118446156,8.67211096374804,57.4926881225406,48.2178970064894,27.1000139172711,66.4092079749792,96.0922230555262,67.5848453263261,21.1431202084459,10.4437264303774,51.1234069430601,48.4142139966471,65.3643302901935,83.4407083898633,68.7844894050365,65.3082372584741,23.5295188573296,71.0589799700985,39.7267520400487,2.10138038145358,3.36299048290528,83.1265284036836,61.5869969742631,6.59276300893083,55.8846253141504,8.16243694396517,26.4904963389836,40.1658083701865,8.45835878783606,55.9126873706858
"10","NA19005",24.2771241317293,38.7654153669433,58.180671453158,56.0724781681546,81.8387590880391,20.2662911717279,87.1020836890675,77.6812741484941,32.8392055069143,32.4617937611677,40.5834937948423,73.4237000005313,54.5071932086836,26.6870303113883,67.7166483288899,71.6007597303519,94.6775539923535,56.3404605950777,74.6802261333097,86.2088976764289,96.4520681810767,93.6995019668868,26.5580686718745,30.2509023052544,19.5270080835336,78.0628661150725,10.7401023530865,35.5859322691569,32.3829912930884,38.0433169325623,21.8953659061968,36.0942656686469,51.5375709660449,86.1946217414267,75.0780081589789,21.3829724656894,72.775721528825,49.3430311028216,75.8116825343478,79.0090131369915,95.6967495711792,38.7941014199606,50.6921417782697,50.3177565242479,24.7324075073475,66.0943939162162,61.1517485571648,56.2873030562522,52.5330104876683,69.0956456867575
"11","HGDP00595",56.2731369153494,72.4271278060856,94.6702406396457,95.5002520708349,52.1233337259654,50.4814726541922,34.0838776342804,89.8736193806207,42.9572553858565,75.0460592795346,35.8484494213142,63.7794384941452,98.5451740718276,52.0723345619067,74.7953799132752,57.3019693412798,47.2496476238256,53.0995253141939,41.9597577155162,3.67995659399056,11.1255189056262,7.77039729176051,75.701004645221,91.9721480830748,58.0017963090375,15.8013910580534,52.2490818904003,26.6190875218032,16.2073050534285,19.2997836038896,54.7302920068564,35.3889521647884,32.1795101479057,84.456485858057,89.2487647485937,81.038425972633,41.8664311326123,64.7850045462684,10.6302732732361,28.751147447396,51.7705125499127,65.9734247923933,29.3977515861846,89.5626320569324,49.0573627835257,36.0410379929377,68.2252340930033,68.3084153079834,17.7823381579584,50.4116363276073
"12","HG03193",80.1658026427204,30.4969319698877,5.88183589752717,6.71989647145787,33.8651088740878,28.1939077489587,33.9150114592581,56.7592569433028,9.04286952674271,17.9105894692796,48.2912252431116,82.3421995782128,7.49007168720236,10.2749253520791,42.1173007737369,45.8395772765838,60.5049983049005,92.3872270435334,57.5163679757213,18.1814584884113,27.8186253467032,27.3218749592418,29.2054612668527,0.937765566512,5.45815061865705,72.7141997315971,32.2080615867948,99.0488736081393,98.9382417994289,99.3708752975553,96.1953477025515,26.9862191732002,30.0850355594732,23.4513729130643,24.9551310187186,17.3921857640632,65.0378264652831,38.6202182232404,78.0015125994867,5.19407365942705,10.2827688107268,52.2352648994223,23.9717387947538,24.2095776230331,3.3363540770574,42.830958263517,29.2623793665472,30.0993326592432,32.5513460434374,46.2382690876521
"13","HG00699",33.6236968255568,60.4183435506357,63.0942985900752,34.3014014443708,5.81869831704629,45.7734477209803,2.83823349623437,35.7425596237532,2.62832470972018,45.1365533557387,56.8358206113886,25.6048032053524,63.1735206517775,17.727528474223,11.9265682262916,35.0953606064755,54.5505060117381,54.7843798881341,47.1301994242351,1.09435894603185,21.1528097830094,31.2745137402373,37.3185787623732,20.5275611103476,35.8657221267421,45.1591661711585,3.18025629355168,34.8456277941426,59.0441833648359,54.4778525581875,3.54900005175466,59.5215355634995,30.4475992343058,5.40514871941863,7.17686419614444,43.3858333208049,21.4599292438541,23.3402223726878,5.09648109186922,43.4872042265995,81.9457343114968,81.1414624583339,20.7172923478165,17.6089801361665,57.8168072119515,45.8185650422277,39.5256798809746,46.7949899777371,24.520155527584,19.6645226293217
"14","HGDP00538",64.0127217768788,39.224876721124,72.9260052710816,75.0114193744355,34.5113634406745,47.6478939109132,22.2962454429622,25.4308078675812,45.8265560290231,75.2335118195888,69.845264856058,48.2231033819386,82.6006912211765,48.2371359351624,39.1081885829825,26.3165773492874,32.9431009201031,66.9812341999396,44.6671292612289,28.3263338747578,26.2193268180521,18.4376906669168,79.9751202007909,81.1529295354955,63.4580780581026,69.8557957292474,89.843515837679,58.5287678344753,57.6256753295773,52.0204891579597,80.7813431702635,40.8282009416401,17.6970354981624,36.1047057881007,48.1710532380342,47.0212347073173,69.497720952597,85.6175997473888,55.8652877211502,97.4109369207028,98.7069347680004,58.1588007408236,40.8759961671679,36.4293781327135,43.0087322452434,51.9778241121587,26.308502766013,29.3215514571123,54.4547491042089,49.9699831316971
"15","HGDP01226",81.6005059204731,90.195274617131,68.0050661101116,45.877527709426,53.2649270264731,84.1893266654723,71.3757558565621,38.4089667042936,36.831339610282,52.4600343737453,32.7665442940718,3.85776049412215,69.1574007173006,88.6176669272402,11.2155725478204,30.9249391247933,26.8034851232189,6.02845063226821,43.7038198095882,90.6832252625144,82.7862700529189,84.367539462634,68.245283521075,50.085276157269,50.1637095197976,58.201198523473,92.1677944892559,13.2643534614056,7.32274176244539,9.76536364991231,49.5265900728753,81.4787609463203,87.3917031560078,76.0832885437532,85.9830766955558,74.3835097211209,80.541006982478,58.4532562301737,85.2222714066959,13.4380415399551,83.4605755140177,69.886735248708,90.5055052245328,72.7313061468165,29.8538109999169,62.8348025715112,83.6225437779567,90.3660610435417,54.3226422800907,96.7496757111387
"16","HGDP01195",6.40458322468715,0.269994420201792,27.5166165057751,34.8548163919399,0.349682464851433,4.86598880727618,0.0270069434136258,1.91145409400551,39.2092192873446,0.439510679218157,59.2860239288148,91.1663490224016,14.4996850768948,1.18485818109825,37.8753118247349,9.62307330763938,67.1756845709155,43.3629096592026,20.8269703353179,6.58269683150455,0.772010494772431,1.47584120323055,12.195596917776,12.9418851263281,1.67470749082846,8.66598167222006,27.3623455954935,43.2576201700906,71.9856971290813,72.2373149269852,11.1859968880243,1.5004113980006,0.0264885832624324,1.84155633746763,9.71979886016114,0.906199340295389,56.896816383335,4.62783097392879,0.372569953129103,35.9901844482272,26.8788043459471,2.86931842664563,0.217947197267314,0.128226584023957,2.54164479835638,15.9400401638259,0.0382719939179958,0.181552834048077,44.9923941563409,2.31345847742872
"17","HG03473",53.3701259369317,27.5094315548584,47.3792736534283,24.1995325316912,23.0947073685531,12.7985090195258,56.7171673146247,49.7070534137393,34.1099118565821,12.5003663319002,53.9615349268418,88.4784069851082,37.5233038417445,25.0461429022899,90.4349269547088,69.744156443683,55.7887592409243,6.50895214326801,18.9682915916898,52.1963971560918,7.85813742064228,17.9716504671174,60.3760109602521,13.6475651230834,24.9655224417371,72.6400071719367,53.437708338252,41.8372962485242,25.1604105598762,26.6185954793297,75.5725685763427,3.38318053408501,17.5034994356696,36.2495454849183,55.264525976374,21.8564229541535,11.516639347823,9.69886539435872,8.59213025544599,73.0989810582812,9.60884139284918,6.23105233607142,25.0500748204253,78.628164142545,43.5434865719966,60.3112101218058,38.377097499359,30.4780476790148,14.5296577896896,28.0949161923831
"18","NA19150",32.4724262638693,47.1305580852211,73.2021607996227,64.0140276535198,81.3820897274837,25.2821007596256,94.6633955068904,78.3095103453064,71.9721312378045,25.6326500034276,98.5657101310702,20.8284280945529,76.2782174262983,65.6014662544182,94.9854563524095,56.2304719472344,96.9668126189452,29.1057902909772,77.564413787154,84.3027830890172,85.3224633800377,85.5839834644064,71.4524206641993,78.9567086606463,32.7620239577754,81.7541350685907,11.3589693025613,14.0806378457399,32.1578002155837,40.0962169771694,36.5274617616621,60.2027916949295,14.9767388105131,57.0173265963558,47.0474610382867,19.7388472039208,25.2077026105784,81.4626200169713,82.2606576652623,50.8826276642311,74.1869888074283,16.3464747059237,60.601819914757,24.4435324133396,56.2984818841265,51.4251132142273,16.0324438388683,17.6175358730244,40.6497894359258,49.461205675029
"19","HG00739",91.1079504292165,93.2002032984053,80.4699170716427,87.6803990088581,75.259841360926,87.2283248325537,61.8894391709473,69.5052175427396,91.6780721717528,88.2135194950481,75.3353405781321,31.2546267742114,78.5217301166751,76.7087187189623,72.5102991578191,84.3022550069937,36.1819937057212,98.5813528748728,92.1603689759831,23.6438551479089,34.0431441943772,53.1556482950666,91.9797934487859,98.9042132054734,84.6368918347987,84.4502982910109,95.2404995889489,79.5877108147448,65.8855240870868,69.0954803916802,69.4314415628925,78.1699214626877,47.9152719387147,91.9176450698354,90.2838138665804,84.1263302463414,53.6207471090614,99.7086475194102,80.6357739892482,79.9633252934228,52.3923883721161,79.0160929662033,76.5189793667295,53.2309856151773,81.9604377140213,95.494412122316,75.4970050640065,75.9177525433547,5.28476852011621,80.3258776493646
"20","HG02813",52.7293415708223,70.7624519261966,18.2981322617095,20.2283531097875,69.7165572529168,40.8572324209972,55.719584409612,12.6196488808771,18.2166611833598,2.24121454554867,48.8580641088129,42.2618068779717,24.6996271197388,44.3461624628253,39.2110020147225,60.3254305487949,31.646547410408,71.5763716618362,52.9481098511418,79.628305732516,66.129460857243,85.3274042497992,4.4732756671238,14.8736661594286,4.56681406200583,98.1592055921317,82.2784801617903,46.6971187528342,59.3212820991112,63.5769994581818,17.9876064557559,41.9741324906305,88.2534544643567,51.374670929628,57.0193049797992,35.1206688492499,11.8531611573471,34.398980718214,40.8250134869341,15.4583697244891,36.3133190851415,10.0043471315732,71.7993692407297,19.9366847487408,56.2492152575577,82.1859597904496,67.3361611597782,80.4464855713649,55.0806844694455,62.9664697183055
"21","HGDP01259",60.9313827985882,73.3172119440659,90.1108815208779,75.9499769330289,23.2876232723777,74.2968078038458,29.8916880654721,51.8933104461565,42.8992738516698,84.0257860675034,24.1249678835931,7.71832096370738,74.6194775036995,73.2753897375406,81.7652735805605,61.19559010183,69.4021464183667,89.4652285695358,13.9736496967763,41.2533938617791,58.7880115251128,55.3355596399035,72.6585356563971,57.7469687296812,88.6293909738842,68.8581122891354,73.1703229149453,67.7637562052929,92.1954510244881,89.9063457911085,23.6437739025103,92.7246233815246,26.9723904774816,58.3237602668136,76.6920448624833,90.8227011102832,66.1348812332433,17.1533311422701,80.8160789702479,70.5862724520703,81.4186386792887,80.5957671756264,40.5511106217804,82.2930000686043,88.0524391107702,18.0309643684513,63.6916943841504,41.0019846463399,88.4720501457938,42.4988128737411
"22","HG00614",51.7201968568768,22.7452204591664,37.966789114305,17.2708136528991,54.5832748250559,43.2211691499315,24.0821275635973,7.27672774664822,2.84698509334045,2.2036793215792,55.2189235171698,79.8120134338375,31.4831193300288,51.699202236276,16.5993789435915,39.0336578621728,19.5801480174552,30.3395099266115,24.0061135556859,48.1691431243348,70.9094177522521,73.2649008785909,18.5082007066118,2.43866374878875,1.56472350603114,50.4341745881323,56.568180389446,36.4604234422698,38.6211090094382,35.7586372759025,36.4570248218616,44.8487884747842,55.0675292426777,19.3425074692345,13.8572510601662,63.734789969067,2.52614419616547,37.2054004110608,31.3928730280655,89.6783837478694,97.4523807550324,5.89546216576943,27.9231236743473,58.4953957066462,28.9304995971505,49.4405229219435,61.4188164276531,30.7620604743276,72.5309463868413,26.3751086577106
